Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 2-комнатной квартиры 69,2м², 7/50этаж",Мичуринский проспект,"•до центра 11,2 км",432000₽/м²,2-комнатная,7,50,"69,2м²","24,6м²","24,4м²",29894400
"Продажа 2-комнатной квартиры 78м², 23/23этаж",Раменки,"•до центра 9,7 км",525641₽/м²,,,,,,,41000000
"Продажа 1-комнатной квартиры 28м², 12/41этаж",Мичуринский проспект,"•до центра 11,1 км",564286₽/м²,1-комнатная,12,41,,,,15800000
"Продажа 4-комнатной квартиры 174,5м², 38/45этаж",Ломоносовский проспект,"•до центра 8,4 км",676218₽/м²,,,,,,,118000000
"Продажа 3-комнатной квартиры 145м², 10/18этаж",Ломоносовский проспект,"•до центра 8,3 км",548276₽/м²,3-комнатная,10,18,145м²,80м²,18м²,79500000
"Продажа 3-комнатной квартиры 73м², 9/14этаж",Минская,"•до центра 8,8 км",668493₽/м²,3-комнатная,9,14,73м²,57м²,"5,3м²",48800000
"Продажа 3-комнатной квартиры 61м², 3/41этаж",Киевская,"•до центра 5,6 км",657500₽/м²,3-комнатная,3,41,,,,40100925
"Продажа 3-комнатной квартиры 74,3м², 15/20этаж",Аминьевская,"•до центра 11,1 км",497981₽/м²,3-комнатная,15,20,"74,3м²","47,8м²",10м²,37000000
"Продажа квартиры со свободной планировкой 235,3м², 2/6этаж",Мичуринский проспект,•до центра 11 км,1041224₽/м²,,,,"235,3м²",180м²,30м²,245000000
"Продажа 2-комнатной квартиры 66м², 3/12этаж",Ломоносовский проспект,"•до центра 7,2 км",1242424₽/м²,2-комнатная,3,12,66м²,"44,8м²",15м²,82000000
"Продажа 4-комнатной квартиры 400м², 17/22этаж",Ломоносовский проспект,•до центра 9 км,400000₽/м²,4-комнатная,17,22,,,,160000000
"Продажа 3-комнатной квартиры 161м², 47/53этаж",Ломоносовский проспект,"•до центра 6,8 км",1209938₽/м²,апартаменты,,,,,,194800000
"Продажа 3-комнатной квартиры 60м², 7/31этаж",Аминьевская,"•до центра 11,5 км",583167₽/м²,3-комнатная,7,31,60м²,35м²,16м²,34990000
"Продажа 4-комнатной квартиры 130м², 13/21этаж",Раменки,"•до центра 9,8 км",538462₽/м²,4-комнатная,13,21,,,,70000000
"Продажа многокомнатной квартиры 233,2м², 4/14этаж",Минская,"•до центра 8,8 км",659949₽/м²,6-комнатная,4,14,"233,2м²",187м²,20м²,153900000
"Продажа 4-комнатной квартиры 136м², 5/14этаж",Минская,"•до центра 8,8 км",661410₽/м²,4-комнатная,5,14,136м²,95м²,20м²,89951734
"Продажа 3-комнатной квартиры 73м², 8/22этаж",Мичуринский проспект,"•до центра 11,7 км",332877₽/м²,3-комнатная,8,22,73м²,42м²,9м²,24300000
"Продажа 4-комнатной квартиры 136м², 5/14этаж",Минская,"•до центра 8,8 км",682353₽/м²,4-комнатная,5,14,136м²,100м²,17м²,92800000
"Продажа 3-комнатной квартиры 71м², 8/14этаж",Минская,"•до центра 8,8 км",549296₽/м²,3-комнатная,8,14,71м²,52м²,12м²,39000000
"Продажа 3-комнатной квартиры 136м², 6/6этаж",Минская,"•до центра 8,6 км",316176₽/м²,апартаменты,,,136м²,108м²,6 из 6,43000000
"Продажа 1-комнатной квартиры 42м², 5/18этаж",Аминьевская,"•до центра 11,3 км",719048₽/м²,1-комнатная,5,18,42м²,"14,2м²","16,9м²",30200000
"Продажа 2-комнатной квартиры 71,5м², 28/50этаж",Мичуринский проспект,"•до центра 11,2 км",479600₽/м²,,,,,,,34291400
"Продажа 2-комнатной квартиры 60м², 14/17этаж",Ломоносовский проспект,"•до центра 8,8 км",503333₽/м²,2-комнатная,14,17,60м²,35м²,8м²,30200000
"Продажа 3-комнатной квартиры 68,7м², 3/14этаж",Минская,"•до центра 8,9 км",560408₽/м²,3-комнатная,3,14,"68,7м²","35,5м²","11,5м²",38500000
"Продажа 1-комнатной квартиры 30,8м², 2/10этаж",Лужники,•до центра 6 км,356818₽/м²,1-комнатная,2,10,"30,8м²","18,8м²",6м²,10990000
"Продажа 3-комнатной квартиры 72м², 3/14этаж",Минская,"•до центра 8,8 км",522222₽/м²,3-комнатная,3,14,72м²,38м²,12м²,37600000
"Продажа 3-комнатной квартиры 102,1м², 35/50этаж",Мичуринский проспект,"•до центра 11,2 км",467900₽/м²,,,,,,,47772590
"Продажа 2-комнатной квартиры 52,1м², 6/9этаж",Минская,"•до центра 7,7 км",374280₽/м²,2-комнатная,6,9,,,,19500000
"Продажа 3-комнатной квартиры 86м², 47/56этаж",Мичуринский проспект,"•до центра 10,7 км",659302₽/м²,,,,,,,56700000
"Продажа 4-комнатной квартиры 250м², 17/17этаж",Студенческая,"•до центра 6,7 км",640000₽/м²,,,,,,,160000000
"Продажа 2-комнатной квартиры 75,1м², 4/50этаж",Мичуринский проспект,"•до центра 11,2 км",407000₽/м²,2-комнатная,4,50,"75,1м²","26,7м²","23,1м²",30565700
"Продажа 3-комнатной квартиры 117,5м², 21/22этаж",Раменки,"•до центра 9,7 км",570213₽/м²,,,,,,,67000000
"Продажа 4-комнатной квартиры 127,5м², 37/49этаж",Мичуринский проспект,"•до центра 11,3 км",647300₽/м²,,,,,,,82530750
"Продажа 3-комнатной квартиры 144м², 39/43этаж",Ломоносовский проспект,"•до центра 8,5 км",496528₽/м²,,,,144м²,18м²,39 из 43,71500000
"Продажа 3-комнатной квартиры 62,1м², 8/28этаж",Раменки,•до центра 10 км,572222₽/м²,3-комнатная,8,28,"62,1м²","29,1м²","17,2м²",35534973
"Продажа 1-комнатной квартиры 40,3м², 14/35этаж",Аминьевская,"•до центра 11,5 км",444169₽/м²,1-комнатная,14,35,"40,3м²",16м²,14м²,17900000
"Продажа 2-комнатной квартиры 73,1м², 10/49этаж",Мичуринский проспект,"•до центра 11,3 км",456300₽/м²,2-комнатная,10,49,"73,1м²","27,2м²","28,5м²",33355530
"Продажа 2-комнатной квартиры 68м², 26/39этаж",Аминьевская,"•до центра 11,5 км",419118₽/м²,,,,,,,28500000
"Продажа 2-комнатной квартиры 71,7м², 6/49этаж",Мичуринский проспект,"•до центра 11,3 км",480500₽/м²,2-комнатная,6,49,"71,7м²","23,6м²",27м²,34451850
"Продажа 4-комнатной квартиры 103м², 2/28этаж",Раменки,•до центра 10 км,468598₽/м²,4-комнатная,2,28,103м²,"53,9м²","19,4м²",48265552
"Продажа квартиры-студии 22,4м², 5/50этаж",Мичуринский проспект,"•до центра 11,2 км",678300₽/м²,,,,,,,15193920
"Продажа 3-комнатной квартиры 80м², 8/25этаж",Раменки,"•до центра 9,7 км",506250₽/м²,3-комнатная,8,25,80м²,40м²,25м²,40500000
"Продажа 2-комнатной квартиры 69,8м², 14/49этаж",Мичуринский проспект,"•до центра 11,3 км",488200₽/м²,2-комнатная,14,49,"69,8м²","27,8м²","20,7м²",34076360
"Продажа 3-комнатной квартиры 62,4м², 10/41этаж",Киевская,"•до центра 5,6 км",668000₽/м²,3-комнатная,10,41,,,,41669840
"Продажа 2-комнатной квартиры 77м², 6/12этаж",Ломоносовский проспект,"•до центра 8,6 км",560000₽/м²,2-комнатная,6,12,,,,43120000
"Продажа 1-комнатной квартиры 27м², 6/14этаж",Минская,"•до центра 8,8 км",600000₽/м²,1-комнатная,6,14,,,,16200000
"Продажа квартиры со свободной планировкой 77,6м², 10/15этаж",Минская,"•до центра 8,8 км",541237₽/м²,,,,,,,42000000
"Продажа 2-комнатной квартиры 75,2м², 41/49этаж",Мичуринский проспект,"•до центра 11,3 км",451400₽/м²,,,,,,,33945280
"Продажа квартиры-студии 28,5м², 6/29этаж",Аминьевская,"•до центра 11,2 км",602390₽/м²,,,,,,,17168109
"Продажа многокомнатной квартиры 303,8м², 3/12этаж",Ломоносовский проспект,"•до центра 7,2 км",1250823₽/м²,6-комнатная,3,12,"303,8м²","273,8м²",25м²,380000000
"Продажа 1-комнатной квартиры 28,9м², 33/43этаж",Аминьевская,•до центра 11 км,467128₽/м²,,,,,,,13500000
"Продажа 3-комнатной квартиры 138м², 14/25этаж",Аминьевская,"•до центра 11,2 км",450000₽/м²,3-комнатная,14,25,138м²,103м²,30м²,62100000
"Продажа 3-комнатной квартиры 130м², 22/53этаж",Ломоносовский проспект,"•до центра 6,8 км",761538₽/м²,апартаменты,,,,,,99000000
"Продажа 4-комнатной квартиры 100м², 4/14этаж",Минская,"•до центра 8,8 км",690000₽/м²,4-комнатная,4,14,,,,69000000
"Продажа 3-комнатной квартиры 102,1м², 12/13этаж",Минская,"•до центра 8,8 км",706072₽/м²,3-комнатная,12,13,"102,1м²","42,3м²","27,3м²",72090000
"Продажа многокомнатной квартиры 137м², 8/12этаж",Минская,"•до центра 8,8 км",686049₽/м²,5-комнатная,8,12,137м²,82м²,15м²,93988700
"Продажа 1-комнатной квартиры 46,2м², 19/49этаж",Мичуринский проспект,"•до центра 11,3 км",525900₽/м²,1-комнатная,19,49,"46,2м²","12,3м²","18,5м²",24296580
"Продажа 3-комнатной квартиры 97,9м², 11/14этаж",Минская,"•до центра 8,9 км",629009₽/м²,3-комнатная,11,14,"97,9м²","38,4м²","25,8м²",61580000
"Продажа 3-комнатной квартиры 136,2м², 13/15этаж",Ломоносовский проспект,"•до центра 8,6 км",770925₽/м²,3-комнатная,13,15,,,,105000000
"Продажа многокомнатной квартиры 291м², 20/21этаж",Ломоносовский проспект,•до центра 9 км,378007₽/м²,5-комнатная,20,21,,,,110000000
"Продажа 3-комнатной квартиры 67,1м², 9/14этаж",Минская,"•до центра 8,9 км",566086₽/м²,3-комнатная,9,14,"67,1м²","35,1м²",7м²,37990000
"Продажа 3-комнатной квартиры 78,9м², 37/52этаж",Минская,"•до центра 9,5 км",414859₽/м²,,,,,,,32732367
"Продажа 2-комнатной квартиры 63,5м², 4/17этаж",Раменки,"•до центра 10,1 км",448819₽/м²,2-комнатная,4,17,"63,5м²",38м²,10м²,28500000
"Продажа 2-комнатной квартиры 46,2м², 9/15этаж",Раменки,•до центра 10 км,774892₽/м²,2-комнатная,9,15,"46,2м²",31м²,7м²,35800000
"Продажа 1-комнатной квартиры 41,7м², 10/31этаж",Аминьевская,"•до центра 11,5 км",479376₽/м²,1-комнатная,10,31,"41,7м²",25м²,10м²,19990000
"Продажа 2-комнатной квартиры 70м², 15/39этаж",Аминьевская,"•до центра 11,5 км",642857₽/м²,2-комнатная,15,39,70м²,42м²,20м²,45000000
"Продажа 1-комнатной квартиры 42,4м², 20/29этаж",Аминьевская,"•до центра 11,2 км",580546₽/м²,1-комнатная,20,29,,,,24615148
"Продажа 3-комнатной квартиры 109м², 34/43этаж",Минская,"•до центра 8,5 км",435780₽/м²,,,,,,,47500000
"Продажа 2-комнатной квартиры 71м², 14/14этаж",Минская,•до центра 9 км,827042₽/м²,,,,,,,58720000
"Продажа многокомнатной квартиры 222м², 3/8этаж",Ломоносовский проспект,"•до центра 7,2 км",1216216₽/м²,5-комнатная,3,8,222м²,92м²,25м²,270000000
"Продажа 2-комнатной квартиры 67,1м², 14/43этаж",Мичуринский проспект,"•до центра 11,1 км",387481₽/м²,2-комнатная,14,43,"67,1м²",25м²,"19,7м²",26000000
"Продажа 4-комнатной квартиры 157м², 10/53этаж",Ломоносовский проспект,"•до центра 6,8 км",605096₽/м²,,,,157м²,80м²,20м²,95000000
"Продажа 4-комнатной квартиры 133м², 18/23этаж",Раменки,"•до центра 9,9 км",477444₽/м²,4-комнатная,18,23,133м²,67м²,38м²,63500000
"Продажа многокомнатной квартиры 481м², 2/4этаж",Минская,"•до центра 8,3 км",2079002₽/м²,6-комнатная,2,4,,,,1000000000
"Продажа квартиры-студии 28,9м², 29/32этаж",Мичуринский проспект,"•до центра 11,2 км",678200₽/м²,,,,"28,9м²",10м²,29 из 32,19599980
"Продажа 3-комнатной квартиры 113,5м², 21/25этаж",Аминьевская,"•до центра 11,2 км",528634₽/м²,,,,,,,60000000
"Продажа 3-комнатной квартиры 78,1м², 24/52этаж",Минская,"•до центра 9,5 км",414630₽/м²,,,,,,,32382603
"Продажа 3-комнатной квартиры 80м², 6/31этаж",Аминьевская,"•до центра 11,5 км",381250₽/м²,3-комнатная,6,31,80м²,50м²,15м²,30500000
"Продажа 3-комнатной квартиры 111м², 30/38этаж",Ломоносовский проспект,"•до центра 8,5 км",418919₽/м²,,,,,,,46500000
"Продажа 3-комнатной квартиры 92,1м², 12/14этаж",Минская,"•до центра 8,9 км",614007₽/м²,3-комнатная,12,14,"92,1м²","40,9м²","26,2м²",56550000
"Продажа 3-комнатной квартиры 95,7м², 9/14этаж",Минская,"•до центра 8,7 км",618077₽/м²,3-комнатная,9,14,"95,7м²","37,9м²","28,2м²",59150000
"Продажа 4-комнатной квартиры 110,9м², 35/56этаж",Минская,"•до центра 9,4 км",398159₽/м²,,,,,,,44155779
"Продажа 2-комнатной квартиры 82м², 11/13этаж",Раменки,"•до центра 9,9 км",547561₽/м²,2-комнатная,11,13,82м²,"36,7м²","25,9м²",44900000
"Продажа квартиры-студии 27м², 9/14этаж",Минская,•до центра 9 км,615185₽/м²,,,,,,,16610000
"Продажа 1-комнатной квартиры 36,9м², 6/17этаж",Раменки,•до центра 10 км,525745₽/м²,1-комнатная,6,17,,,,19400000
"Продажа 2-комнатной квартиры 44м², 15/22этаж",Аминьевская,"•до центра 11,7 км",454545₽/м²,2-комнатная,15,22,44м²,22м²,14м²,20000000
"Продажа многокомнатной квартиры 132,2м², 3/28этаж",Раменки,"•до центра 9,9 км",532771₽/м²,5-комнатная,3,28,,,,70432326
"Продажа многокомнатной квартиры 253,4м², 11/13этаж",Раменки,"•до центра 9,9 км",552092₽/м²,6-комнатная,11,13,"253,4м²","163,3м²",40м²,139900000
"Продажа квартиры-студии 24,5м², 17/50этаж",Мичуринский проспект,"•до центра 11,2 км",684400₽/м²,,,,,,,16767800
"Продажа 2-комнатной квартиры 38м², 20/26этаж",Аминьевская,"•до центра 11,5 км",631579₽/м²,2-комнатная,20,26,38м²,20м²,15м²,24000000
"Продажа 1-комнатной квартиры 40,9м², 23/43этаж",Аминьевская,•до центра 11 км,451100₽/м²,,,,,,,18450000
"Продажа 3-комнатной квартиры 82,2м², 3/11этаж",Аминьевская,"•до центра 11,3 км",463289₽/м²,3-комнатная,3,11,,,,38082327
"Продажа 1-комнатной квартиры 95,3м², 15/21этаж",Ломоносовский проспект,•до центра 9 км,411333₽/м²,1-комнатная,15,21,"95,3м²","70,9м²","19,1м²",39200000
"Продажа 2-комнатной квартиры 68,9м², 9/14этаж",Минская,"•до центра 8,9 км",592017₽/м²,2-комнатная,9,14,"68,9м²","24,6м²","22,5м²",40790000
"Продажа 4-комнатной квартиры 150м², 2/19этаж",Университет,"•до центра 8,9 км",652667₽/м²,4-комнатная,2,19,,,,97900000
"Продажа 2-комнатной квартиры 64,8м², 25/41этаж",Киевская,"•до центра 5,6 км",674500₽/м²,,,,,,,43734580
"Продажа 1-комнатной квартиры 30,7м², 4/12этаж",Студенческая,"•до центра 6,5 км",384365₽/м²,1-комнатная,4,12,"30,7м²","14,3м²","9,7м²",11800000
"Продажа 2-комнатной квартиры 66,3м², 3/8этаж",Ломоносовский проспект,"•до центра 7,2 км",1244344₽/м²,2-комнатная,3,8,,,,82500000
"Продажа квартиры-студии 29,8м², 21/29этаж",Аминьевская,"•до центра 11,2 км",636802₽/м²,,,,"29,8м²","17,5м²",21 из 29,18976693
"Продажа 2-комнатной квартиры 73,5м², 10/13этаж",Лужники,"•до центра 6,1 км",1193197₽/м²,2-комнатная,10,13,,,,87700000
"Продажа 4-комнатной квартиры 142,6м², 18/25этаж",Аминьевская,"•до центра 11,2 км",410238₽/м²,4-комнатная,18,25,"142,6м²",86м²,"19,7м²",58500000
"Продажа 3-комнатной квартиры 73м², 9/14этаж",Минская,"•до центра 8,8 км",668493₽/м²,3-комнатная,9,14,73м²,57м²,"5,3м²",48800000
"Продажа 2-комнатной квартиры 72,9м², 15/29этаж",Ломоносовский проспект,"•до центра 8,7 км",452675₽/м²,,,,"72,9м²",50м²,10м²,33000000
"Продажа 4-комнатной квартиры 136,5м², 5/12этаж",Минская,"•до центра 8,8 км",725275₽/м²,4-комнатная,5,12,"136,5м²","84,6м²","12,8м²",99000000
"Продажа 4-комнатной квартиры 102,2м², 4/12этаж",Минская,"•до центра 8,8 км",650685₽/м²,4-комнатная,4,12,,,,66500000
"Продажа 3-комнатной квартиры 135,4м², 2/17этаж",Университет,"•до центра 8,7 км",576071₽/м²,3-комнатная,2,17,"135,4м²",80м²,18м²,78000000
"Продажа 2-комнатной квартиры 68,9м², 13/14этаж",Минская,•до центра 9 км,582003₽/м²,2-комнатная,13,14,"68,9м²","24,6м²","22,5м²",40100000
"Продажа 3-комнатной квартиры 80,1м², 44/52этаж",Минская,"•до центра 9,5 км",399913₽/м²,,,,,,,32033039
"Продажа 3-комнатной квартиры 89,8м², 12/28этаж",Раменки,"•до центра 9,9 км",500982₽/м²,3-комнатная,12,28,"89,8м²","50,4м²","21,9м²",44988212
"Продажа 4-комнатной квартиры 107,3м², 13/52этаж",Минская,"•до центра 9,5 км",404964₽/м²,4-комнатная,13,52,"107,3м²","70,9м²","5,7м²",43452685
"Продажа 2-комнатной квартиры 78,8м², 5/22этаж",Ломоносовский проспект,•до центра 9 км,430203₽/м²,2-комнатная,5,22,"78,8м²",20м²,30м²,33900000
"Продажа 2-комнатной квартиры 69м², 12/14этаж",Минская,•до центра 9 км,571014₽/м²,2-комнатная,12,14,69м²,"24,6м²","22,5м²",39400000
"Продажа 1-комнатной квартиры 34м², 25/43этаж",Мичуринский проспект,"•до центра 11,1 км",529412₽/м²,,,,,,,18000000
"Продажа 3-комнатной квартиры 70м², 11/14этаж",Минская,"•до центра 8,9 км",598571₽/м²,3-комнатная,11,14,,,,41900000
"Продажа 3-комнатной квартиры 91,5м², 9/13этаж",Минская,"•до центра 8,9 км",584044₽/м²,3-комнатная,9,13,"91,5м²","46,1м²","25,7м²",53440000
"Продажа 3-комнатной квартиры 72,6м², 24/41этаж",Киевская,"•до центра 5,6 км",715000₽/м²,,,,,,,51930450
"Продажа многокомнатной квартиры 191м², 8/9этаж",Ломоносовский проспект,"•до центра 7,2 км",1547351₽/м²,5-комнатная,8,9,,,,295544000
"Продажа 3-комнатной квартиры 78,8м², 44/52этаж",Минская,"•до центра 9,5 км",418769₽/м²,,,,,,,32998969
"Продажа 3-комнатной квартиры 110м², 27/43этаж",Ломоносовский проспект,"•до центра 8,5 км",445455₽/м²,,,,,,,49000000
"Продажа 2-комнатной квартиры 53,7м², 19/52этаж",Минская,"•до центра 9,5 км",446032₽/м²,2-комнатная,19,52,"53,7м²","35,9м²","7,3м²",23951942
"Продажа 2-комнатной квартиры 68,7м², 3/14этаж",Минская,"•до центра 8,9 км",553130₽/м²,2-комнатная,3,14,,,,38000000
"Продажа 3-комнатной квартиры 72м², 2/14этаж",Минская,"•до центра 8,8 км",628875₽/м²,3-комнатная,2,14,72м²,50м²,12м²,45279000
"Продажа 4-комнатной квартиры 98,2м², 18/41этаж",Киевская,"•до центра 5,7 км",500000₽/м²,4-комнатная,18,41,,,,49100000
"Продажа 2-комнатной квартиры 70,2м², 13/14этаж",Минская,"•до центра 8,9 км",735043₽/м²,2-комнатная,13,14,"70,2м²","25,2м²","21,7м²",51600000
"Продажа 4-комнатной квартиры 84,8м², 16/39этаж",Аминьевская,"•до центра 11,5 км",601415₽/м²,4-комнатная,16,39,"84,8м²",52м²,21м²,51000000
"Продажа 4-комнатной квартиры 136,9м², 8/12этаж",Минская,"•до центра 8,8 км",744982₽/м²,4-комнатная,8,12,"136,9м²","85,8м²","12,8м²",101988000
"Продажа 2-комнатной квартиры 72,9м², 5/23этаж",Раменки,"•до центра 9,9 км",477366₽/м²,2-комнатная,5,23,"72,9м²",37м²,15м²,34800000
"Продажа 3-комнатной квартиры 100,2м², 9/15этаж",Раменки,"•до центра 9,9 км",548902₽/м²,3-комнатная,9,15,,,,55000000
"Продажа 4-комнатной квартиры 205м², 14/18этаж",Ломоносовский проспект,•до центра 9 км,439024₽/м²,4-комнатная,14,18,205м²,105м²,18м²,90000000
"Продажа 3-комнатной квартиры 91,6м², 13/14этаж",Минская,"•до центра 8,9 км",605022₽/м²,3-комнатная,13,14,"91,6м²","38,8м²","23,3м²",55420000
"Продажа 4-комнатной квартиры 255м², 37/43этаж",Ломоносовский проспект,"•до центра 8,5 км",490196₽/м²,,,,255м²,18м²,37 из 43,125000000
"Продажа 1-комнатной квартиры 40,4м², 14/15этаж",Раменки,•до центра 10 км,573020₽/м²,1-комнатная,14,15,"40,4м²",20м²,9м²,23150000
"Продажа 2-комнатной квартиры 70,6м², 8/14этаж",Минская,"•до центра 8,9 км",566289₽/м²,2-комнатная,8,14,"70,6м²","48,9м²","11,6м²",39980000
"Продажа 2-комнатной квартиры 76,4м², 27/30этаж",Аминьевская,"•до центра 11,5 км",641230₽/м²,,,,,,,48990000
"Продажа 1-комнатной квартиры 32,5м², 4/42этаж",Аминьевская,"•до центра 11,5 км",467385₽/м²,1-комнатная,4,42,"32,5м²",23м²,5м²,15190000
"Продажа 3-комнатной квартиры 171,3м², 14/14этаж",Минская,"•до центра 8,8 км",780911₽/м²,,,,,,,133770000
"Продажа 2-комнатной квартиры 67м², 33/41этаж",Мичуринский проспект,•до центра 11 км,492537₽/м²,,,,,,,33000000
"Продажа квартиры-студии 25,6м², 32/52этаж",Минская,"•до центра 9,5 км",591134₽/м²,,,,"25,6м²","16,5м²",32 из 52,15133031
"Продажа многокомнатной квартиры 137м², 8/14этаж",Минская,"•до центра 8,8 км",744526₽/м²,5-комнатная,8,14,137м²,75м²,13м²,102000000
"Продажа 3-комнатной квартиры 111м², 9/22этаж",Ломоносовский проспект,"•до центра 8,8 км",382883₽/м²,3-комнатная,9,22,,,,42500000
"Продажа многокомнатной квартиры 217м², 20/38этаж",Минская,"•до центра 8,5 км",668203₽/м²,5-комнатная,20,38,217м²,124м²,23м²,145000000
"Продажа 2-комнатной квартиры 71,3м², 29/31этаж",Аминьевская,"•до центра 11,5 км",406732₽/м²,,,,,,,29000000
"Продажа 4-комнатной квартиры 110,1м², 17/56этаж",Минская,"•до центра 9,4 км",401929₽/м²,4-комнатная,17,56,"110,1м²","71,3м²","6,1м²",44252366
"Продажа 3-комнатной квартиры 80,1м², 25/32этаж",Минская,"•до центра 7,2 км",785376₽/м²,,,,,,,62940034
"Продажа 2-комнатной квартиры 59,5м², 4/41этаж",Киевская,"•до центра 5,6 км",662000₽/м²,2-комнатная,4,41,,,,39369140
"Продажа 3-комнатной квартиры 111м², 33/43этаж",Ломоносовский проспект,"•до центра 8,5 км",431532₽/м²,,,,,,,47900000
"Продажа 2-комнатной квартиры 71,7м², 4/49этаж",Мичуринский проспект,"•до центра 11,3 км",448100₽/м²,2-комнатная,4,49,"71,7м²","23,6м²",27м²,32128770
"Продажа квартиры-студии 29,8м², 9/29этаж",Аминьевская,"•до центра 11,2 км",595973₽/м²,,,,,,,17760006
"Продажа квартиры-студии 29,8м², 17/29этаж",Аминьевская,"•до центра 11,2 км",618846₽/м²,,,,,,,18441620
"Продажа 4-комнатной квартиры 133м², 5/14этаж",Минская,"•до центра 8,8 км",639098₽/м²,4-комнатная,5,14,133м²,66м²,15м²,85000000
"Продажа 2-комнатной квартиры 45м², 3/5этаж",Ломоносовский проспект,"•до центра 7,2 км",317778₽/м²,2-комнатная,3,5,45м²,27м²,6м²,14300000
"Продажа многокомнатной квартиры 130,4м², 2/14этаж",Минская,"•до центра 8,8 км",649540₽/м²,5-комнатная,2,14,"130,4м²",85м²,20м²,84700000
"Продажа 1-комнатной квартиры 48м², 43/49этаж",Мичуринский проспект,"•до центра 11,3 км",597900₽/м²,,,,,,,28699200
"Продажа 3-комнатной квартиры 95,7м², 13/14этаж",Минская,"•до центра 8,7 км",658098₽/м²,3-комнатная,13,14,"95,7м²","37,9м²","28,2м²",62980000
"Продажа 2-комнатной квартиры 72м², 7/25этаж",Аминьевская,"•до центра 11,5 км",381944₽/м²,2-комнатная,7,25,72м²,36м²,16м²,27500000
"Продажа 4-комнатной квартиры 131м², 2/14этаж",Минская,"•до центра 8,8 км",648855₽/м²,4-комнатная,2,14,131м²,80м²,13м²,85000000
"Продажа 3-комнатной квартиры 136,6м², 22/35этаж",Ломоносовский проспект,"•до центра 8,4 км",512445₽/м²,,,,,,,70000000
"Продажа 2-комнатной квартиры 73,3м², 40/50этаж",Мичуринский проспект,"•до центра 11,2 км",437200₽/м²,,,,,,,32046760
"Продажа 2-комнатной квартиры 69,2м², 22/50этаж",Мичуринский проспект,"•до центра 11,2 км",480900₽/м²,,,,,,,33278280
"Продажа 4-комнатной квартиры 95м², 5/14этаж",Минская,"•до центра 8,9 км",505263₽/м²,4-комнатная,5,14,95м²,66м²,14м²,48000000
"Продажа 3-комнатной квартиры 70м², 3/14этаж",Минская,"•до центра 8,8 км",542143₽/м²,3-комнатная,3,14,70м²,50м²,"13,1м²",37950000
"Продажа многокомнатной квартиры 156м², 15/21этаж",Раменки,"•до центра 9,8 км",512821₽/м²,5-комнатная,15,21,156м²,80м²,30м²,80000000
"Продажа квартиры-студии 30м², 15/41этаж",Аминьевская,•до центра 11 км,576667₽/м²,,,,,,,17300000
"Продажа 2-комнатной квартиры 68,8м², 13/14этаж",Минская,"•до центра 8,9 км",631105₽/м²,2-комнатная,13,14,"68,8м²","24,6м²","22,5м²",43420000
"Продажа 3-комнатной квартиры 83,9м², 18/37этаж",Аминьевская,"•до центра 11,5 км",387366₽/м²,3-комнатная,18,37,"83,9м²","56,3м²",10м²,32500000
"Продажа 3-комнатной квартиры 75м², 4/23этаж",Аминьевская,"•до центра 11,7 км",440000₽/м²,3-комнатная,4,23,75м²,47м²,15м²,33000000
"Продажа 4-комнатной квартиры 130,4м², 2/14этаж",Минская,"•до центра 8,8 км",651840₽/м²,4-комнатная,2,14,"130,4м²","72,6м²","15,7м²",85000000
"Продажа квартиры-студии 30,2м², 37/43этаж",Мичуринский проспект,"•до центра 11,1 км",539040₽/м²,,,,"30,2м²","17,2м²",37 из 43,16279000
"Продажа 4-комнатной квартиры 150,7м², 25/53этаж",Ломоносовский проспект,"•до центра 6,8 км",729927₽/м²,апартаменты,,,,,,110000000
"Продажа 3-комнатной квартиры 95,9м², 41/49этаж",Мичуринский проспект,"•до центра 11,3 км",504600₽/м²,,,,,,,48391140
"Продажа 4-комнатной квартиры 161,5м², 21/23этаж",Ломоносовский проспект,•до центра 9 км,482284₽/м²,,,,,,,77888808
"Продажа 3-комнатной квартиры 145,2м², 2/12этаж",Мичуринский проспект,"•до центра 11,2 км",616000₽/м²,3-комнатная,2,12,"145,2м²","43,3м²","34,5м²",89443200
"Продажа 1-комнатной квартиры 42м², 7/42этаж",Аминьевская,"•до центра 11,5 км",452381₽/м²,1-комнатная,7,42,42м²,23м²,14м²,19000000
"Продажа 3-комнатной квартиры 83м², 12/17этаж",Раменки,"•до центра 9,8 км",345663₽/м²,3-комнатная,12,17,83м²,53м²,10м²,28690000
"Продажа квартиры-студии 29,8м², 19/29этаж",Аминьевская,"•до центра 11,2 км",625744₽/м²,,,,,,,18647180
"Продажа 4-комнатной квартиры 126м², 3/22этаж",Ломоносовский проспект,"•до центра 9,1 км",396825₽/м²,4-комнатная,3,22,,,,50000000
"Продажа 2-комнатной квартиры 67м², 9/14этаж",Минская,"•до центра 8,9 км",567164₽/м²,2-комнатная,9,14,67м²,"28,1м²",7м²,38000000
"Продажа квартиры-студии 27м², 13/14этаж",Минская,•до центра 9 км,671111₽/м²,,,,,,,18120000
