Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 4-комнатной квартиры 107,3м², 7/52этаж",Минская,"•до центра 9,5 км",403913₽/м²,4-комнатная,7,52,"107,3м²","70,9м²","5,7м²",43339848
"Продажа многокомнатной квартиры 596м², 13/13этаж",Лужники,"•до центра 6,1 км",1244799₽/м²,,,,,,,741900000
"Продажа 2-комнатной квартиры 67м², 23/41этаж",Мичуринский проспект,"•до центра 11,1 км",410448₽/м²,,,,,,,27500000
"Продажа 1-комнатной квартиры 40,3м², 14/34этаж",Аминьевская,"•до центра 11,5 км",443921₽/м²,1-комнатная,14,34,"40,3м²",12м²,12м²,17890000
"Продажа 3-комнатной квартиры 110м², 6/17этаж",Раменки,"•до центра 9,7 км",509082₽/м²,3-комнатная,6,17,110м²,90м²,16м²,55999000
"Продажа многокомнатной квартиры 226м², 4/14этаж",Минская,"•до центра 8,9 км",721239₽/м²,5-комнатная,4,14,,,,163000000
"Продажа 1-комнатной квартиры 45,8м², 35/50этаж",Мичуринский проспект,"•до центра 11,2 км",510300₽/м²,,,,,,,23371740
"Продажа квартиры-студии 27,9м², 25/41этаж",Аминьевская,•до центра 11 км,458781₽/м²,,,,"27,9м²","16,9м²",25 из 41,12800000
"Продажа 4-комнатной квартиры 106,9м², 13/28этаж",Раменки,"•до центра 9,9 км",534454₽/м²,4-комнатная,13,28,"106,9м²","51,6м²","22,2м²",57133153
"Продажа 2-комнатной квартиры 123м², 2/6этаж",Воробьёвы горы,"•до центра 6,9 км",1343018₽/м²,2-комнатная,2,6,123м²,90м²,20м²,165191197
"Продажа многокомнатной квартиры 236м², 35/43этаж",Ломоносовский проспект,"•до центра 8,5 км",495763₽/м²,,,,,,,117000000
"Продажа квартиры-студии 29м², 37/43этаж",Мичуринский проспект,"•до центра 11,1 км",561724₽/м²,,,,29м²,23м²,37 из 43,16290000
"Продажа 2-комнатной квартиры 88м², 16/21этаж",Раменки,"•до центра 9,9 км",625000₽/м²,2-комнатная,16,21,88м²,40м²,16м²,55000000
"Продажа 4-комнатной квартиры 102,9м², 3/28этаж",Раменки,•до центра 10 км,501285₽/м²,4-комнатная,3,28,"102,9м²","53,9м²","19,3м²",51582195
"Продажа многокомнатной квартиры 191м², 8/9этаж",Ломоносовский проспект,"•до центра 7,2 км",1547403₽/м²,5-комнатная,8,9,,,,295554000
"Продажа 2-комнатной квартиры 72,3м², 18/27этаж",Аминьевская,"•до центра 11,2 км",484094₽/м²,2-комнатная,18,27,,,,35000000
"Продажа многокомнатной квартиры 379,4м², 19/19этаж",Университет,"•до центра 8,9 км",864523₽/м²,,,,,,,328000000
"Продажа 3-комнатной квартиры 160м², 47/53этаж",Ломоносовский проспект,"•до центра 6,8 км",1180000₽/м²,апартаменты,,,,,,188800000
"Продажа 3-комнатной квартиры 117,5м², 14/38этаж",Раменки,"•до центра 9,7 км",388936₽/м²,3-комнатная,14,38,,,,45700000
"Продажа 3-комнатной квартиры 75м², 3/14этаж",Минская,"•до центра 8,8 км",626667₽/м²,3-комнатная,3,14,75м²,48м²,12м²,47000000
"Продажа 1-комнатной квартиры 30,8м², 2/10этаж",Лужники,•до центра 6 км,356818₽/м²,1-комнатная,2,10,"30,8м²","18,8м²",6м²,10990000
